mem: 140737129891650, val: 35
mem: 140737129891649, val: 94
mem: 140737129891648, val: 96
mem: 140737129891647, val: 0
mem: 140737129891646, val: 0
mem: 140737129891645, val: 127
mem: 140737129891644, val: 255
mem: 140737129891643, val: 234
mem: 140737129891642, val: 162
mem: 140737129891641, val: 71
mem: 140737129891640, val: 208
mem: 140737129891639, val: 0
mem: 140737129891638, val: 0
mem: 140737129891637, val: 127
mem: 140737129891636, val: 43
mem: 140737129891635, val: 250
mem: 140737129891634, val: 0
mem: 140737129891633, val: 126
mem: 140737129891632, val: 192
mem: 140737129891631, val: 0
mem: 140737129891630, val: 0
mem: 140737129891629, val: 0
mem: 140737129891628, val: 0
mem: 140737129891627, val: 0
mem: 140737129891626, val: 0
mem: 140737129891625, val: 0
mem: 140737129891624, val: 0
mem: 140737129891623, val: 0
mem: 140737129891622, val: 0
mem: 140737129891621, val: 127
mem: 140737129891620, val: 255
mem: 140737129891619, val: 234
mem: 140737129891618, val: 162
mem: 140737129891617, val: 79
mem: 140737129891616, val: 144
mem: 140737129891615, val: 0
mem: 140737129891614, val: 0
mem: 140737129891613, val: 0
mem: 140737129891612, val: 0
mem: 140737129891611, val: 0
mem: 140737129891610, val: 0
mem: 140737129891609, val: 0
mem: 140737129891608, val: 0
mem: 140737129891607, val: 0
mem: 140737129891606, val: 0
mem: 140737129891605, val: 0
mem: 140737129891604, val: 0
mem: 140737129891603, val: 0
mem: 140737129891602, val: 0
mem: 140737129891601, val: 0
mem: 140737129891600, val: 3
mem: 140737129891599, val: 0
mem: 140737129891598, val: 0
mem: 140737129891597, val: 127
mem: 140737129891596, val: 43
mem: 140737129891595, val: 250
mem: 140737129891594, val: 2
mem: 140737129891593, val: 79
mem: 140737129891592, val: 236
mem: 140737129891591, val: 0
mem: 140737129891590, val: 0
mem: 140737129891589, val: 0
mem: 140737129891588, val: 0
mem: 140737129891587, val: 0
mem: 140737129891586, val: 0
mem: 140737129891585, val: 0
mem: 140737129891584, val: 7
mem: 140737129891583, val: 0
mem: 140737129891582, val: 0
mem: 140737129891581, val: 127
mem: 140737129891580, val: 43
mem: 140737129891579, val: 250
mem: 140737129891578, val: 2
mem: 140737129891577, val: 155
mem: 140737129891576, val: 86
mem: 140737129891575, val: 0
mem: 140737129891574, val: 0
mem: 140737129891573, val: 0
mem: 140737129891572, val: 0
mem: 140737129891571, val: 0
mem: 140737129891570, val: 0
mem: 140737129891569, val: 0
mem: 140737129891568, val: 7
mem: 140737129891567, val: 0
mem: 140737129891566, val: 0
mem: 140737129891565, val: 127
mem: 140737129891564, val: 43
mem: 140737129891563, val: 250
mem: 140737129891562, val: 2
mem: 140737129891561, val: 155
mem: 140737129891560, val: 86
mem: 140737129891559, val: 0
mem: 140737129891558, val: 0
mem: 140737129891557, val: 127
mem: 140737129891556, val: 255
mem: 140737129891555, val: 234
mem: 140737129891554, val: 162
mem: 140737129891553, val: 72
mem: 140737129891552, val: 56
mem: 140737129891551, val: 0
mem: 140737129891550, val: 0
mem: 140737129891549, val: 127
mem: 140737129891548, val: 43
mem: 140737129891547, val: 250
mem: 140737129891546, val: 2
mem: 140737129891545, val: 134
mem: 140737129891544, val: 81
mem: 140737129891543, val: 0
mem: 140737129891542, val: 0
mem: 140737129891541, val: 0
mem: 140737129891540, val: 0
mem: 140737129891539, val: 0
mem: 140737129891538, val: 0
mem: 140737129891537, val: 0
mem: 140737129891536, val: 15
mem: 140737129891535, val: 0
mem: 140737129891534, val: 0
mem: 140737129891533, val: 127
mem: 140737129891532, val: 255
mem: 140737129891531, val: 234
mem: 140737129891530, val: 162
mem: 140737129891529, val: 70
mem: 140737129891528, val: 249
mem: 140737129891527, val: 0
